ID Producto,Articulo,Marca,Categoria,Stock,Genero,Imagen
H1,Essential White,Calvin Klein,Poleras,50,Hombre,https://drive.google.com/file/d/1gE4tB5oaJCTkIaad2MgNv0IrdBvqQWl7/view?usp=drive_link
H2,Noir Abstract,Armani,Poleras,40,Hombre,https://drive.google.com/file/d/1zdSEh98fwrDCjHaw_zGK4NCmONH0d5gG/view?usp=drive_link
H3,Maritime Stripe,Ralph Lauren,Poleras,45,Hombre,https://drive.google.com/file/d/1yGl3utvFJxkmOBdOaQspdT6_e6PeBQzc/view?usp=drive_link
H4,Retro Revival,Tommy Hilfiger,Poleras,30,Hombre,https://drive.google.com/file/d/1T3UMMdigc4oeRW8w-aUYEizvBq80BHby/view?usp=drive_link
H5,Tailored Elegance,Calvin Klein,Pantalones,60,Hombre,https://drive.google.com/file/d/11RFy_k-zm1Y4kQ5DXmiFf1s-NbVZQKpC/view?usp=drive_link
H6,Urban Denim,Levi's,Pantalones,55,Hombre,https://drive.google.com/file/d/18OSgz4PRlHXYZPBefws4tHzaHfbsRnCl/view?usp=drive_link
H7,Casual Cotton,Tommy Hilfiger,Pantalones,50,Hombre,https://drive.google.com/file/d/1V9absX3kvDtqqamcvPpucyMg--uCJq-d/view?usp=drive_link
H8,Adventure Ready,The North Face,Pantalones,40,Hombre,https://drive.google.com/file/d/1NqbrZFYyEFEPUheHJu1yYWdlP6_pWVUK/view?usp=drive_link
H9,Elegance Oxford,Prada,Zapatos,40,Hombre,https://drive.google.com/file/d/1XNPuHbkGb1D-K4MOREXkfFlC_h-h3daI/view?usp=drive_link
H10,Urban Walk,Adidas,Zapatos,60,Hombre,https://drive.google.com/file/d/1o9F8PGCdlNv8XxnVJ5XsbvAgv_qPaKe1/view?usp=drive_link
H11,Classic Tassel,Salvatore Ferragamo,Zapatos,50,Hombre,https://drive.google.com/file/d/1wvT-zvVdS-I4gl6a5D7yuDhzon0DNrVU/view?usp=drive_link
H12,Trailmaster,Timberland,Zapatos,35,Hombre,https://drive.google.com/file/d/16I8HIvXxCsQomvjFKEplo178F7phRpud/view?usp=drive_link
